wiêkszoœæ absolutna ; ** ; AD  ; 21 ;
pañstwo *AEAAAB w pañstwie ; *-- ; AE ;  ; 
papier  drzewny ; ** ; AC ;  ; #21?
papier  kancelaryjny ; ** ; AC ;  ; 
papier  kredowy ; ** ; AC ;  ; 
papier  milimetrowy ; ** ; AC ;  ; 
papierek  lakmusowy ; ** ; AC ; 21 ; 
papierkowa  robota *ADAAA ; ** ; AD; 21 ; 
papierowy  bohater ; ** ; AA ;  ; 
papiery *AGAB wartoœciowe ; ** ; AG ;  ; 
parafialna  g¹ska ; ** ; AD ; ; 
$ parafialna  gêœ ; ** ; AD ;  ; 
parali¿  postêpowy ; ** ; AC ;  ; 
park  narodowy ; ** ; AC ;  ; 
park  sztywnych ; *- ; AC ;  ; 
parszywa  owca ; ** ; AD ;  ; 
parszywe  ¿ycie ; ** ; AE ;  ; 
parszywy  interes ; ** ; AE ;  ; 
pas *ACAABAA bezpieczeñstwa ; *- ; AC ;  ; #podwójny wzorzec
pas *ACAABAA  cnoty ; *- ; AC ;  ; #jw
pasmo  cierpieñ ; *- ; AE ;  ; 
pasmo  klêsk ; *- ; AE ;  ; 
pasmo  k³opotów ; *- ; AE ;  ; 
pasmo  nieszczêœæ ; *- ; AE ;  ; 
pasmo  sukcesów ; *- ; AE ;  ; 
pastuch  elektryczny ; ** ; AC ;  ;
paŸ  królowej ; *- ; AC ;  ; 
pe³ne  mleko ; ** ; AE ;  ; 
pe³ne  morze *AEBAA ; ** ; AE ;  ; 
perlisty  pot ; ** ; AC ;  ; 
perlisty  œmiech ; ** ; AC ;  ; 
perski  dywan ; ** ; AC ; 21 ; 
perskie  oko *AEAAAA ; ** ; AE ;  ; #perskie oka/oczy?
pewna  rêka ; ** ; AD ;  ; 
pewnoœæ  siebie ; *- ; AD ;  ; 
pewny siebie ; *- ; AD ;  ; 
pêpek  œwiata ; *- ; AC ;  ; 
pi¹ta  kolumna ; ** ; AD ;  ; 
pi¹ta woda po kisielu ; **-- ; AD ;  ; 
pi¹ty  bieg ; ** ; AC ;  ; 
pic na wodê ; *-- ; AC ;  ; 
piechota  morska ; ** ; AD ; 21 ; 
piekielna  awantura ; ** ; AD ;  ; 
pielêgniarka  dyplomowana ; ** ; AD ; 21 ; 
pieprzny  kawa³ ; ** ; AC ;  ; 
pierogi *ACABBA leniwe ; ** ; AG ;  ; #clp: nie ma AG
pierwszy  bieg ; ** ; AC ;  ; 
pierwszy  mechanik *AAACBA ; ** ; AA ;  ; 
pierwszy  oficer ; ** ; AA ;  ; 
pierwszy  sekretarz ; ** ; AA ;  ; 
pies  goñczy ; ** ; AB ;  ; 
pies  ³añcuchowy ; ** ; AB ;  ; 
pies  morski ; ** ; AB ; foka ; 
pies  myœliwski ; ** ; AB ;  ; 
pies  ogrodnika ; *- ; AB ;  ; 
pies  podwórzowy ; ** ; AB ; ; 
pies  z *GBBAA kulaw¹ nog¹ ; *--- ; AB ;  ; 
piesek salonowy ; ** ; AB ; 21 ; 
pieskie nasienie ; ** ; AC ;  ; 
pieskie ¿ycie *AEBAA ; ** ; AE ;  ; 
piêkne s³ówka ; ** ; AG ;  ; 
piêta achillesowa ; ** ; AD ;  ; 
pilot *ACAABAA automatyczny ; ** ; AC ; 21 ; 
pi³ka koszykowa ; ** ; AD ; koszykówka ; 
pi³ka no¿na ; ** ; AD ; ; #wariant: football, futbal, noga?
pi³ka rêczna ; ** ; AD ;  ; 
pi³ka  siatkowa ; ** ; AD ; siatkówka ; 
pi³ka  wodna ; ** ; AD ;  ; 
piorun  kulisty ; ** ; AC ;  ; 
piorunuj¹ce  wra¿enie ; ** ; AE ;  ; 
pióro  kulkowe ; ** ; AE ;  ; 
piramidalne  g³upstwo ; ** ; AE ;  ; 
piramidalne  k³amstwo ; ** ; AE ;  ; 
pyrrusowe  zwyciêstwo ; ** ; AE ;  ; 
pismo  gotyckie ; ** ; AE ; 21 ; 
pismo  klinowe ; ** ; AE ;  ; #21?
pismo  obrazkowe ; ** ; AE ;  ; #21?
pismo  techniczne ; ** ; AE ; 21 ; 
plac  bitwy ; *- ; AC ;  ; 
$ plac  boju ; *- ; AC ;  ; 
plagi  egipskie ; ** ; AG ; 21 ; #lp?
plejada  gwiazd ; *- ; AD ;  ; 
plusy *ACAAAAA i minusy ; *-* ; AG ;  ; 
pluton  egzekucyjny ; ** ; AC ;  ; 
p³aszczyzna  porozumienia ; *- ; AD ;  ; 
p³atki  mydlane ; ** ; AG ;  ; 
p³eæ *ADCAAA  brzydka ; ** ; AD ;  ; #2wo
p³eæ *ADCAAA s³aba ; ** ; AD ; 21 ; #jw
$ p³eæ *ADCAAA s³absza ; ** ; AD ; 21 ; #jw
p³eæ *ADCAAA piêkna ; ** ; AD ; ; #jw
p³etwa  grzbietowa ; ** ; AD ;  ; 
p³ody  rolne ; ** ; AG ;  ; 
p³omienne  uczucie ; ** ; AE ;  ; 
p³omienny  wzrok ; ** ; AC ;  ; 
p³omyk  nadziei ; *- ; AC ;  ; 
p³ycizna  intelektualna ; ** ; AD ; 21 ; 
p³ynna  gotówka ; ** ; AD ;  ; 
p³ynna  granica ; ** ; AD ;  ; 
pobo¿ne  ¿yczenie ; ** ; AG ;  ; 
poca³unek  judaszowy ; ** ; AC ; 21 ; 
poca³unek  pokoju ; *- ; AC ;  ; 
poci¹g  towarowy ; ** ; AC ;  ; 
poczciwoœci cz³owiek ; -* ; AA ;  ; 
poczta  g³osowa ; ** ; AD ; ; 
poczta  lotnicza ; ** ; AD ; 21 ; 
poczta  pantoflowa ; ** ; AD ; 21 ; 
poczucie *AEBAA humoru ; *- ; AE ;  ; 
poczucie *AEBAA obowi¹zku ; *- ; AE ;  ; 
poczucie *AEBAA rytmu ; *- ; AE ;  ; 
poczucie *AEBAA smaku ; *- ; AE ;  ; 
poczucie *AEBAA sprawiedliwoœci ; *- ; AE ;  ; 
podatek  dochodowy ; ** ; AC ;  ; 
podatek  gruntowy ; ** ; AC ;  ; 
podchwytliwe  pytanie ; ** ; AE ;  ; 
podniebienie  miêkkie ; ** ; AE ;  ; 
podniebienie  twarde ; ** ; AE ;  ; 
podpis  odrêczny ; ** ; AC ; 21 ; 
poduszka  elektryczna ; ** ; AD ;  ; 
poduszka  powietrzna ; ** ; AD ;  ; 
podwójna  gra *ADAAA ; ** ; AD ;  ; 
podwójna  moralnoœæ ; ** ; AD ;  ; 
podwójne  ¿ycie *AEBAA ; ** ; AE ;  ; 
podwójny  nelson ; ** ; AC ;  ; 
poemat  homerycki ; ** ; AC ;  ; 
poganiacz  byd³a ; *- ; AA ;  ; 
pogoda  barowa ; ** ; AD ; 21 ; 
pogoda  pod psem ; *-- ; AD ;  ; 
pogotowie  ratunkowe ; ** ; AE ;  ; 
pogromca  serc ; *- ; AA ;  ; 
pojazd  dwuœladowy ; ** ; AC ;  ; 
pojazd  jednoœladowy ; ** ; AC ;  ; 
pokerowa  zagrywka ; ** ; AD ;  ; 
pokrewna  dusza ; ** ; AD ;  ; 
pola  elizejskie ; ** ; AG ;  ; #nazwa
pole *AEBAA bitwy ; *- ; AE ;  ; #+boju
$ pole *AEBAA walki ; *- ; AE ;  ; 
pole *AEBAA bramkowe ; ** ; AE ;  ; 
pole *AEBAA  chwa³y ; *- ; AE ;  ; 
pole *AEBAA do dzia³ania *AEBAA ; *-- ; AE ;  ; 
pole *AEBAA do popisu ; *-- ; AE ;  ; 
pole *AEBAA dzia³ania *AEBAA ; *- ; AE ;  ; 
pole *AEBAA elektromagnetyczne ; ** ; AE ;  ; 
pole *AEBAA elektryczne ; ** ; AE ;  ; 
pole *AEBAA magnetyczne ; ** ; AE ;  ; #+elektromagnetyczne
pole *AEBAA minowe ; ** ; AE ;  ; 
pole *AEBAA ra¿enia ; *- ; AE ;  ; 
pole *AEBAA widzenia ; *- ; AE ;  ; 
polityka *ADAB gospodarcza ; ** ; AD ;  ; 
polityka *ADAB rolna ; ** ; AD ;  ; 
polna droga *ADAB ; ** ; AD ;  ; 
polowanie  na czarownice ; *-- ; AE ;  ; 
po³udniowy  temperament ; ** ; AC ;  ; 
po³ykacz  ognia ; *- ; AA ;  ; 
pomieszanie *AEBAA z *GBBAA popl¹taniem ; --- ; AE ;  ; 
pomieszanie *AEBAA zmys³ów ; *- ; AE ;  ; 
pomieszanie *AEBAA z *GBBAA popl¹taniem ; --- ; AE ;  ; 
pomnik  przyrody ; *- ; AC ;  ; 
pomoc  domowa ; ** ; AD ;  ; 
pomoc  spo³eczna ; ** ; AD ;  ; 
pomocna  d³oñ ; ** ; AD ;  ; 
pomyœlne  wiatry ; ** ; AG ;  ; 
popisowy  numer ; ** ; AC ; 21 ; 
port *ACAAAAA lotniczy ; ** ; AC ;  ; 
port *ACAAAAA rybacki ; ** ; AC ;  ; 
porz¹dek  naturalny ; ** ; AC ; 21 ; 
porz¹dek  obrad ; *- ; AC ;  ; 
porz¹dek  rzeczy ; *- ; AC ;  ; 
pose³ na sejm ; *-- ; AA ;  ; 
pospolite  ruszenie ; ** ; AE ;  ; 
postawa  obywatelska ; ** ; AD ; 21 ; 
postêp  arytmetyczny ; ** ; AC ;  ; 
postêp  geometryczny ; ** ; AC ;  ; 
postêpowanie  cywilne ; ** ; AE ;  ; 
postêpowanie  egzekucyjne ; ** ; AE ;  ; 
potencja³  gospodarczy ; ** ; AC ;  ; 
potyczka  s³owna ; ** ; AD ; 21 ; 
pozdrowienie *AEBAA anielskie ; ** ; AE ;  ;
$ anio³ *AAACAAB pañski ; ** ; AC ; ; #clp?
praca  domowa ; ** ; AD ;  ; 
praca  fizyczna ; ** ; AD ;  ; 
praca  magisterska ; ** ; AD ;  ; 
praca  organiczna ; ** ; AD ;  ; 
praca  siedz¹ca ; ** ; AD ;  ; #21?
prace  rêczne ; ** ; AG ; ; #21?
pranie *AEBAA mózgu ; *- ; AE ;  ; 
prawo  cywilne ; ** ; AE ;  ; 
prawo  doraŸne ; ** ; AE ;  ; 
prawo  d¿ungli ; *- ; AE ;  ; 
prawo  handlowe ; ** ; AE ;  ; 
prawo  jazdy ; *- ; AE ;  ; 
prawo  kanoniczne ; ** ; AE ;  ; 
prawo  lokalowe ; ** ; AE ;  ; 
prawo  ³aski ; *- ; AE ;  ; 
prawo  magdeburskie ; ** ; AE ;  ; 
prawo  moj¿eszowe ; ** ; AE ;  ; 
prawo  piêœci ; *- ; AE ;  ; 
prawo  serii ; *- ; AE ;  ; #+inne prawa
prawy  prosty ; ** ; AC ;  ; 
prawy  sierpowy ; ** ; AC ;  ; 
pr¹d  elektryczny ; ** ; AC ;  ; 
proces  rewizyjny ; ** ; AC ;  ; 
produkt  uboczny ; ** ; AC ; 21 ; 
profesor  nadzwyczajny ; ** ; AA ;  ; 
profesor  zwyczajny ; ** ; AA ;  ; 
proszona  herbatka ; ** ; AD ;  ; 
protokó³  dyplomatyczny ; ** ; AC ;  ; 
próba  generalna ; ** ; AD ;  ; 
próba  ognia ; *- ; AD ;  ; 
próba  ogniowa ; ** ; AD ; 21 ; 
próba  si³ *AGAAA ; *- ; AD ;  ; 
prywatna  inicjatywa ; ** ; AD ;  ; #21?
przemiana  materii ; *- ; AD ;  ; 
przemys³  ciê¿ki ; ** ; AC ; ; #21?
przemys³  cukrowniczy ; ** ; AC ; ; 
przemys³  drzewny ; ** ; AC ;  ; #21?
przemys³  lekki ; ** ; AC ;  ; #21?
przerwa  obiadowa ; ** ; AD ;  ; 
przestrzeñ  kosmiczna ; ** ; AD ;  ; 
przestrzeñ  ¿yciowa ; ** ; AD ; 21 ; 
przybrana  córka ; ** ; AD ;  ; 
przybrana  matka ; ** ; AD ;  ; 
przybrane  dziecko ; ** ; AE ;  ; 
przybrane  nazwisko ; ** ; AE ;  ; 
przybrany *CAB ojciec ; ** ; AA ;  ; 
przybrany *CAB syn ; ** ; AA ;  ; 
przyjaciel  domu ; *- ; AA ;  ; 
przyjazna  dusza ; ** ; AD ;  ; 
przyprawa  korzenna ; ** ; AD ; 21 ; 
przyroda  nieo¿ywiona ; ** ; AD ; ; 
przyrost  naturalny ; ** ; AC ;  ; 
przystanek  na ¿¹danie ; *-- ; AC ;  ; 
psi  grosz ; ** ; AC ;  ; 
psi  grzyb ; ** ; AC ;  ; 
psi  obowi¹zek ; ** ; AC ;  ; 
psia  s³u¿ba ; ** ; AD ;  ; 
psychologia  doœwiadczalna ; ** ; AD ; 21 ; 
ptak  drapie¿ny ; ** ; AB ;  ; 
ptasi  mó¿d¿ek ; ** ; AC ;  ; 
ptasie  mleczko ; ** ; AE ;  ; 
$ ptasie  mleko ; ** ; AE ;  ; 
puchar  przechodni ; ** ; AC ;  ; #21?
pu³apka  ofsajdowa ; ** ; AD ;  ; 
punkt  ciê¿koœci ; *- ; AC ;  ; 
punkt  honoru ; *- ; AC ;  ; 
punkt  kulminacyjny ; ** ; AC ;  ; 
punkt  obserwacyjny ; ** ; AC ;  ; 
punkt  odniesienia ; *- ; AC ;  ; 
punkt  oparcia ; *- ; AC ;  ; 
punkt  skupu ; *- ; AC ;  ; 
punkt  widzenia ; *- ; AC ;  ; 
punkt  wyjœcia ; *- ; AC ;  ; 
punkt  zaczepienia ; *- ; AC ;  ; 
punkt  zwrotny ; ** ; AC ;  ; 
pusta  g³owa ; ** ; AD ;  ; 
puste s³owa ; ** ; AG;  ; 
pusty  dŸwiêk ; ** ; AC ;  ; 
pusty  œmiech ; ** ; AC ;  ; 
pyrrusowe  zwyciêstwo ; ** ; AE ;  ; 
pytanie *AEBAA retoryczne ; ** ; AE ; 21 ; 
rachunek  sumienia ; *- ; AC ;  ; 
racja  bytu ; *- ; AD ;  ; 
racja  stanu ; *- ; AD ;  ; 
racja  ¿ywnoœciowa ; ** ; AD ;  ; 
rafa  koralowa ; ** ; AD ;  ; 
rajska  jab³oñ ; ** ; AD ;  ; 
rajski  ogród ; ** ; AC ; 21 ; 
rajski  ptak ; ** ; AB ;  ; 
rajskie  jab³ko ; ** ; AE ; ; 
$ rajskie  jab³uszko ; ** ; AE ;  ; 
rakieta  tenisowa ; ** ; AD ;  ; 
rana *ADAAA szarpana ; ** ; AD ;  ; #+inne rany 
reakcja  ³añcuchowa ; ** ; AD ; 21 ; 
realizm  krytyczny ; ** ; AC ;  ; 
reforma gregoriañska ; ** ; AD ;  ; 
regu³a  zakonna ; ** ; AD ;  ; 
regu³y  gry ; *- ; AG ;  ; 
rekord  œwiata ; *- ; AC ;  ; 
rekord  ¿yciowy ; ** ; AC ; 21 ; 
relikwia  narodowa ; ** ; AD ; 21 ; 
renta  inwalidzka ; ** ; AD ;  ; 
reparacje  wojenne ; ** ; AG ;  ; #lp?
reprezentacja  narodowa ; ** ; AD ; 21 ; 
rewia  mody ; *- ; AD ; ; 
rewizja  nadzwyczajna ; ** ; AD ;  ; 
rewizja  osobista ; ** ; AD ;  ; 
rewolucja  kulturalna ; ** ; AD ;  ; 
rewolucja  robotnicza ; ** ; AD ;  ; 
rezerwy  gospodarcze ; ** ; AG ;  ; 
rêka *ADACBABB opatrznoœci ; *- ; AD ;  ; 
robaczek  œwiêtojañski ; ** ; AB ; œwietlik ; 
roboty *ADAAA  przymusowe ; ** ; AG ;  ; 
robótka  rêczna ; ** ; AD ; 21 ; 
rodzaj  gramatyczny ; ** ; AC ; ; 
rodzaj  ludzki ; ** ; AC ; 21 ; 
rodzaj  mêski ; ** ; AC ;  ; 
rodzaj  nijaki ; ** ; AC ;  ; 
rodzaj  ¿eñski ; ** ; AC ;  ; 
rodzina  wielodzietna ; ** ; AD ; 21 ; 
rodzinne  pielesze ; ** ; AG ; 21 ; 
rodzinne  progi ; ** ; AG ; 21 ; 
rodzinne  strony ; ** ; AG ; 21 ; 
rodzona  córka ; ** ; AD ; ; #21?
rodzona  matka ; ** ; AD ; ; #21?
rodzona  siostra ; ** ; AD ; ; #21?
rogata  dusza ; ** ; AD ; 21 ; 
rok *ACEA akademicki ; ** ; AC ;  ; 
rok *ACEA bie¿¹cy ; ** ; AC ; 21 ; 
rok *ACEA kalendarzowy ; ** ; AC ;  ; 
rok *ACEA s³oneczny ; ** ; AC ;  ; 
rok *ACEA szkolny ; ** ;AC ;  ; 
rok *ACEA pañski ; ** ; AC ;  ;
$ anno domini ; -- ; AC ; ; 
rola  kobieca ; ** ; AD ;  ; 
rola  mêska ; ** ; AD ;  ; 
rola  tytu³owa ; ** ; AD ; 21 ; 
romans *ACACACA historyczny ; ** ; AC ;  ; 
romans *ACACACA rycerski ; ** ; AC ;  ; 
ropa  naftowa ; ** ; AD ;  ; 
rosyjska  ruletka ; ** ; AD ;  ; 
rozbicie *AEBAA dzielnicowe ; ** ; AE ; 21 ; 
rozbiór  gramatyczny ; ** ; AC ; ; 
rozbiór  zdania ; *- ; AC ;  ; 
rozbój  na równej drodze ; *--- ; AC ;  ; 
$ rozbój  w bia³y dzieñ ; *--- ; AC ;  ; 
rozdwojenie *AEBAA jaŸni ; *- ; AE ;  ; 
rozg³oœnia  radiowa ; ** ; AD ;  ; 
rozgrywki  sportowe ; ** ; AG ; 21 ; 
rozjazd  kolejowy ; ** ; AC ;  ; 
rozjazd  tramwajowy ; ** ; AC ;  ; 
rozkaz  dzienny ; ** ; AC ;  ; 
rozk³ad  jazdy ; *- ; AC ;  ; 
rozk³ad  moralny ; ** ; AC ; ; 
rozkosze  sto³u ; *- ; AG ;  ; 
rozkwit  ekonomiczny ; ** ; AC ;  ; 
rozlew  krwi ; *- ; AC ;  ; 
rozmna¿anie *AEBAA bezp³ciowe ; ** ; AE ;  ; 
rozmna¿anie *AEBAA p³ciowe ; ** ; AE ;  ; 
rozmna¿anie *AEBAA wegetatywne ; ** ; AE ;  ; 
rozmowa  w cztery *DBAB oczy *AEACA ; *--- ; AD ;  ;  # wsg: w cztery oczy
rozporz¹dzenie *AEBAA  ministerialne ; ** ; AE ; 21 ; 
rozporz¹dzenie *AEBAA rz¹dowe ; ** ; AE ; 21 ; 
rozporz¹dzenie *AEBAA wewnêtrzne ; ** ; AE ; 21 ; 
rozporz¹dzenie *AEBAA wykonawcze ; ** ; AE ; 21 ; #termin?
rozprawa  apelacyjna ; ** ; AD ;  ; 
rozprawa  doktorska ; ** ; AD ;  ; 
rozprawa  naukowa ; ** ; AD ;  ; 
rozterka  duchowa ; ** ; AD ; 21 ; 
rozwarstwienie *AEBAA klasowe ; ** ; AE ;  ; #wsg?
rozwarstwienie *AEBAA spo³eczne ; ** ; AE ;  ; 
rozwa¿ania  naukowe ; ** ; AG ; 21 ; 
ród ludzki ; ** ; AC ; 21 ; 
róg  obfitoœci ; *- ; AC ;  ; 
równia  pochy³a ; ** ; AD ;  ; 
równy ch³op ; ** ; AA ;  ; 
równy  cz³owiek ; ** ; AA ;  ; 
ró¿a  wiatrów ; *- ; AD ;  ; 
ró¿a  pustyni ; *- ; AD ;  ; 
ró¿ne  ró¿noœci ; ** ; AG ;  ; 
ró¿owa  przysz³oœæ ; ** ; AD ;  ; 
ró¿owe  okulary ; ** ; AG ;  ; 
ruch  ch³opski ; ** ; AC ;  ; 
ruch  jednokierunkowy ; ** ; AC ;  ; 
ruch  jednostajny ; ** ; AC ;  ; 
ruch  ko³owy ; ** ; AC ;  ; 
ruch  ludowy ; ** ; AC ;  ; 
ruch  oporu ; *- ; AC ;  ; 
ruch  uliczny ; ** ; AC ;  ; 
ruch  w interesie ; *-- ; AC ;  ; 
ruch  wolnoœciowy ; ** ; AC ;  ; 
ruch  wyzwoleñczy ; ** ; AC ;  ; 
ruchome  piaski ; ** ; AG ;  ; 
ruchy  tektoniczne ; ** ; AG ;  ; 
ruina  ekonomiczna ; ** ; AD ;  ; 
ruina  gospodarcza ; ** ; AD ;  ; 
ruina  moralna ; ** ; AD ; 21 ; 
runda  honorowa ; ** ; AD ;  ; 
rura  wydechowa ; ** ; AD ;  ; 
ruski  miesi¹c ; ** ; AC ;  ; 
ruski  rok ; ** ; AC ;  ; 
rwa  kulszowa ; ** ; AD ;  ; 
ryba  s³odkowodna ; ** ; AD ;  ; 
rydwan  wojenny ; ** ; AC ; 21 ; 
rygor  szkolny ; ** ; AC ; 21 ; 
rygor  wiêzienny ; ** ; AC ; 21 ; 
rym  mêski ; ** ; AC ;  ; 
rym  czêstochowski ; ** ; AC ; 21 ; 
rynek *ACABA krajowy ; ** ; AC ;  ; 
rynek *ACABA zbytu ; *- ; AC ;  ; 
rysunek  odrêczny ; ** ; AC ;  ; 
rysunek  techniczny ; ** ; AC ;  ; 
rysy *ACAAAAA twarzy ; *- ; AG ;  ; 
rz¹d *ACAAAAA dusz ; *- ; AC ;  ; 
rz¹d *ACAAAAA marionetkowy ; ** ; AC ;  ; 
rz¹dy  silnej rêki ; *-- ; AG ;  ; 
$ rz¹dy  twardej rêki ; *-- ; AG ;  ; 
rzecz przypadku ; -- ; AD ;  ; 
rzeczy  osobiste ; ** ; AG ;  ; #lp?
rzeŸ  niewini¹tek ; *- ; AD ;  ; 
rzeŸba  terenu ; *- ; AD ;  ; 
rzêsa  wodna ; ** ; AD ;  ; 
rzêsiste  brawa ; ** ; AG ;  ; 
rzut  dyskiem ; *- ; AC ;  ; 
rzut  m³otem *ACAABAA ; *- ; AC ;  ; 
rzut  oka *AEACA ; *- ; AC ;  ; 
rzut  oszczepem ; *- ; AC ;  ; 
sakrament  chrztu ; *- ; AC ;  ; 
sakrament  ma³¿eñstwa ; *- ; AC ;  ; 
sakramentalne  pytanie ; ** ; AE ;  ; 
salomonowa  m¹droœæ ; ** ; AD ;  ; 
salon  artystyczny ; ** ; AC ;  ; 
salon  fryzjerski ; ** ; AC ;  ; 
salon  gry ; *- ; AC ;  ; 
salon  literacki ; ** ; AC ;  ; 
salon  samochodowy ; ** ; AC ;  ; 
salonowe  maniery *AGAAA ; ** ; AG ; 21 ; 
salwa  honorowa ; ** ; AD ;  ; 
samobójcza  bramka ; ** ; AD ; 21 ; 
samochód  ma³olitra¿owy ; ** ; AC ;  ; 
samopomoc  ch³opska ; ** ; AD ;  ; 
samorz¹d  gminny ; ** ; AC ;  ; 
samorz¹d  miejski ; ** ; AC ;  ; 
samorz¹d  szkolny ; ** ; AC ;  ; 
samorz¹d  terytorialny ; ** ; AC ;  ; 
satyra *ADAAA obyczajowa ; ** ; AD ;  ; 
satyra *ADAAA polityczna ; ** ; AD ;  ; 
s¹d  apelacyjny ; ** ; AC ;  ; 
s¹d  bo¿y ; ** ; AC ;  ; #wariant: ordalia?
s¹d  cywilny ; ** ; AC ;  ; 
s¹d  doraŸny ; ** ; AC ;  ; 
s¹d  honorowy ; ** ; AC ;  ; 
s¹d  kaperski ; ** ; AC ;  ; 
s¹d  kapturowy ; ** ; AC ;  ; 
s¹d  kasacyjny ; ** ; AC ;  ; 
s¹d  kole¿eñski ; ** ; AC ;  ; 
s¹d  nadzwyczajny ; ** ; AC ;  ; 
s¹d  ostateczny ; ** ; AC ;  ; 
s¹d  pracy ; *- ; AC ;  ; 
s¹d  rewizyjny ; ** ; AC ;  ; 
s¹d  skorupkowy ; ** ; AC ;  ; 
s¹d  wojewódzki ; ** ; AC ;  ; 
s¹dny  dzieñ ; ** ; AC ;  ; 
scena  fina³owa ; ** ; AD ;  ; 
scena  kameralna ; ** ; AD ;  ; 
scena  ma³¿eñska ; ** ; AD ;  ; 
scena  polityczna ; ** ; AD ;  ; 
scena  teatralna ; ** ; AD ;  ; 
sceny  dantejskie ; ** ; AG ; 21 ; 
schody  ruchome ; ** ; AG ; 21 ; 
seans  filmowy ; ** ; AC ;  ; 
seans  spirytystyczny ; ** ; AC ;  ; 
sedno  rzeczy ; *- ; AE ;  ; 
$ sedno  sprawy ; *- ; AE ;  ; 
segregacja  rasowa ; ** ; AD ;  ; 
sejm  czteroletni ; ** ; AC ;  ; #nazwa
sejm  elekcyjny ; ** ; AC ;  ; 
sejm  ustawodawczy ; ** ; AC ;  ; 
sekcja  zw³ok *AGBA ; *- ; AD ;  ; 
sekretarz  generalny ; ** ; AC ;  ; 
sekretarz  naukowy ; ** ; AC ;  ; 
seminarium  duchowne ; ** ; AE ;  ; 
seminarium  magisterskie ; ** ; AE ;  ; 
sen  somnambuliczny ; ** ; AC ; 21 ; 
sen  zimowy ; ** ; AC ;  ; 
senat  akademicki ; ** ; AC ;  ; 
senat  rzymski ; ** ; AC ;  ; #21?
senna  mara ; ** ; AD ; 21 ; 
senne  majaki *AGBB ; ** ; AG ; 21 ; #lp?
senne  marzenia ; ** ; AG ;  ; 
sennik  egipski ; ** ; AC ;  ; #21?
sens  ¿ycia ; *- ; AC ;  ; 
ser  holenderski ; ** ; AC ;  ; 
ser  owczy ; ** ; AC ;  ; #warianty?
serce jak *EK dzwon ; *-- ; AE ;  ; 
serdeczna  krew *ADCAAA ; ** ; AD ; 21 ; 
sezon  jesienny ; ** ; AC ; 21 ; 
sezon  letni ; ** ; AC ; 21 ; 
sezon  ogórkowy ; ** ; AC ;  ; 
sezon  wiosenny ; ** ; AC ; 21 ; 
sezon  zimowy ; ** ; AC ; 21 ; 
sêdzia *AABAA pokoju ; *- ; AA ;  ; #2wo
sêdzia *AABAA sportowy ; ** ; AA ;  ; #jw
sfera  niebieska ; ** ; AD ;  ; 
siarczyste  przekleñstwo ; ** ; AE ;  ; 
siarczysty  mróz ; ** ; AC ;  ; 
siatka  dyfrakcyjna ; ** ; AD ;  ; 
siatka  geograficzna ; ** ; AD ;  ; 
sieæ  autobusowa ; ** ; AD ;  ; 
sieæ  kolejowa ; ** ; AD ;  ; 
sieæ  komunikacyjna ; ** ; AD ;  ; 
sieæ  radiowa ; ** ; AD ;  ; 
sieæ  tramwajowa ; ** ; AD ;  ; 
sieæ  wodna ; ** ; AD ;  ; 
sieæ  wodoci¹gowa ; ** ; AD ;  ; 
siedem *DBBB cudów *ACAAAAA œwiata ; **- ; AG ;  ; #cudy (?)
siedem *DBBB grzechów g³ównych ; *** ; AG ;  ; 
siedlisko  chorób ; *- ; AE ;  ; 
siedmiomilowe  buty *AGAB ; ** ; AG ; 21 ; 
siemiê  lniane ; ** ; AE ;  ; 
sierp i m³ot *ACAABAA ; *-* ; AC ;  ; 
siewnik  dwurzêdowy ; ** ; AC ;  ; #termin?
silna  indywidualnoœæ ; ** ; AD ;  ; 
silna  rêka ; ** ; AD ;  ; 
silnik  dwusuwowy ; ** ; AC ;  ; #21?
silnik  elektryczny ; ** ; AC ; 21 ; 
silnik  na dotarciu ; *-- ; AC ;  ; 
silnik  odrzutowy ; ** ; AC ; 21 ; 
silnik  spalinowy ; ** ; AC ; 21 ; 
si³a  ci¹¿enia ; *- ; AD ; grawitacja ; 
$ si³a  ciê¿koœci ; *- ; AD ;  ; #dopisaæ wariant ?
si³a  doœrodkowa ; ** ; AD ; ; #21?
si³a  fizyczna ; ** ; AD ;  ; 
si³a  herkulesowa ; ** ; AD ; 21 ; 
si³a  nadprzyrodzona ; ** ; AD ; 21 ; 
si³a  napêdowa ; ** ; AD ;  ; 
si³a  natury ; *- ; AD ;  ; 
si³a  nawyku ; *- ; AD ;  ; 
si³a  nieczysta ; ** ; AD ; 21 ; 
si³a  odœrodkowa ; ** ; AD ;  ; #21?
si³a  robocza ; ** ; AD ;  ; 
si³a  rozpêdu ; *- ; AD ;  ; 
si³a  wy¿sza ; ** ; AD ; 21 ; 
si³a  ¿yciowa ; ** ; AD ; 21 ; #wariant: witalnoœæ?
siostra  cioteczna ; ** ; AD ; 21 ; #wariant: kuzynka?
siostra  mi³osierdzia ; *- ; AD ;  ; 
siostra  przyrodnia ; ** ; AD ; 21 ; 
siostra  stryjeczna ; ** ; AD ; 21 ; #kuzynka?
siostra  zakonna ; ** ; AD ; zakonnica ; 
siódme  niebo ; ** ; AE ;  ; 
siódme  poty ; ** ; AG ;  ; 
skarb  narodowy ; ** ; AC ;  ; #21?
